VDS_ID,HIGHWAY,DIRECTION,LAT,LONG,WEEK 1,WEEK 2
1121715,I5,N,33.336618,-117.502921,1121715_I5_W1.csv,1121715_I5_W2.csv
1121722,I5,S,33.336526,-117.503236,1121722_I5_W1.csv,1121722_I5_W2.csv
1121707,I5,N,33.303917,-117.470642,1121707_I5_W1.csv,1121707_I5_W2.csv
1121712,I5,S,33.303824,-117.470855,1121712_I5_W1.csv,1121712_I5_W2.csv
1121692,I5,N,33.281567,-117.449193,1121692_I5_W1.csv,1121692_I5_W2.csv
1121702,I5,S,33.281427,-117.449437,1121702_I5_W1.csv,1121702_I5_W2.csv
1119990,I5,N,33.25805,-117.426272,1119990_I5_W1.csv,1119990_I5_W2.csv
1119997,I5,S,33.25794,-117.426537,1119997_I5_W1.csv,1119997_I5_W2.csv
1119984,I5,N,33.246111,-117.417364,1119984_I5_W1.csv,1119984_I5_W2.csv
1119978,I5,S,33.240152,-117.413376,1119978_I5_W1.csv,1119978_I5_W2.csv
1119972,I5,N,33.236554,-117.40592,1119972_I5_W1.csv,1119972_I5_W2.csv
1119966,I5,S,33.230196,-117.400904,1119966_I5_W1.csv,1119966_I5_W2.csv
1119960,I5,N,33.224874,-117.393754,1119960_I5_W1.csv,1119960_I5_W2.csv
1119954,I5,S,33.218567,-117.391109,1119954_I5_W1.csv,1119954_I5_W2.csv
1115323,I5,N,33.211043,-117.38743,1115323_I5_W1.csv,1115323_I5_W2.csv
1122257,I5,S,33.210909,-117.387715,1122257_I5_W1.csv,1122257_I5_W2.csv
1115348,I5,S,33.203502,-117.381395,1115348_I5_W1.csv,1115348_I5_W2.csv
1115314,I5,N,33.203683,-117.381192,1115314_I5_W1.csv,1115314_I5_W2.csv
1115306,I5,N,33.200816,-117.373244,1115306_I5_W1.csv,1115306_I5_W2.csv
1108672,I5,S,33.200618,-117.373434,1108672_I5_W1.csv,1108672_I5_W2.csv
1108459,I5,S,33.191265,-117.363271,1108459_I5_W1.csv,1108459_I5_W2.csv
1115304,I5,N,33.191415,-117.363042,1115304_I5_W1.csv,1115304_I5_W2.csv
1108461,I5,S,33.179734,-117.353651,1108461_I5_W1.csv,1108461_I5_W2.csv
1115289,I5,N,33.179859,-117.353416,1115289_I5_W1.csv,1115289_I5_W2.csv
1119947,I5,N,33.173355,-117.348324,1119947_I5_W1.csv,1119947_I5_W2.csv
1108463,I5,S,33.17092,-117.346811,1108463_I5_W1.csv,1108463_I5_W2.csv
1119941,I5,N,33.167728,-117.34438,1119941_I5_W1.csv,1119941_I5_W2.csv
1108657,I5,S,33.162818,-117.342266,1108657_I5_W1.csv,1108657_I5_W2.csv
1119934,I5,N,33.155404,-117.338099,1119934_I5_W1.csv,1119934_I5_W2.csv
1108560,I5,S,33.151704,-117.336331,1108560_I5_W1.csv,1108560_I5_W2.csv
1119928,I5,N,33.142807,-117.333209,1119928_I5_W1.csv,1119928_I5_W2.csv
1108659,I5,N,33.136145,-117.330076,1108659_I5_W1.csv,1108659_I5_W2.csv
1108661,I5,S,33.134348,-117.329451,1108661_I5_W1.csv,1108661_I5_W2.csv
1108687,I5,N,33.12394,-117.32296,1108687_I5_W1.csv,1108687_I5_W2.csv
1108685,I5,S,33.122973,-117.322702,1108685_I5_W1.csv,1108685_I5_W2.csv
1119921,I5,N,33.115949,-117.31811,1119921_I5_W1.csv,1119921_I5_W2.csv
1119915,I5,S,33.112683,-117.316473,1119915_I5_W1.csv,1119915_I5_W2.csv
1108682,I5,N,33.103602,-117.310425,1108682_I5_W1.csv,1108682_I5_W2.csv
1108680,I5,S,33.103493,-117.310641,1108680_I5_W1.csv,1108680_I5_W2.csv
1119903,I5,N,33.09232,-117.303146,1119903_I5_W1.csv,1119903_I5_W2.csv
1119909,I5,S,33.092248,-117.303383,1119909_I5_W1.csv,1119909_I5_W2.csv
1108663,I5,N,33.086077,-117.299048,1108663_I5_W1.csv,1108663_I5_W2.csv
1108725,I5,S,33.081594,-117.297304,1108725_I5_W1.csv,1108725_I5_W2.csv
1119890,I5,N,33.073419,-117.294587,1119890_I5_W1.csv,1119890_I5_W2.csv
1119897,I5,S,33.073357,-117.294868,1119897_I5_W1.csv,1119897_I5_W2.csv
1108651,I5,N,33.064668,-117.291997,1108651_I5_W1.csv,1108651_I5_W2.csv
1108723,I5,S,33.064772,-117.292309,1108723_I5_W1.csv,1108723_I5_W2.csv
1119879,I5,N,33.055577,-117.289125,1119879_I5_W1.csv,1119879_I5_W2.csv
1119877,I5,S,33.055523,-117.289401,1119877_I5_W1.csv,1119877_I5_W2.csv
1122512,I5,N,33.048098,-117.286976,1122512_I5_W1.csv,1122512_I5_W2.csv
1108479,I5,S,33.048438,-117.287351,1108479_I5_W1.csv,1108479_I5_W2.csv
1119871,I5,N,33.044755,-117.285974,1119871_I5_W1.csv,1119871_I5_W2.csv
1125314,I5,N,33.037208,-117.281927,1125314_I5_W1.csv,1125314_I5_W2.csv
1108477,I5,S,33.036347,-117.281649,1108477_I5_W1.csv,1108477_I5_W2.csv
1119865,I5,N,33.035624,-117.280848,1119865_I5_W1.csv,1119865_I5_W2.csv
1122507,I5,N,33.027309,-117.275242,1122507_I5_W1.csv,1122507_I5_W2.csv
1108475,I5,S,33.02625,-117.274915,1108475_I5_W1.csv,1108475_I5_W2.csv
1119659,I5,N,33.017612,-117.27184,1119659_I5_W1.csv,1119659_I5_W2.csv
1119666,I5,S,33.017499,-117.272051,1119666_I5_W1.csv,1119666_I5_W2.csv
1108473,I5,S,33.010643,-117.265228,1108473_I5_W1.csv,1108473_I5_W2.csv
1119653,I5,S,33.005412,-117.259304,1119653_I5_W1.csv,1119653_I5_W2.csv
1108471,I5,S,32.995955,-117.25672,1108471_I5_W1.csv,1108471_I5_W2.csv
1108512,I5,N,32.995723,-117.256395,1108512_I5_W1.csv,1108512_I5_W2.csv
1126614,I5,N,32.987715,-117.255119,1126614_I5_W1.csv,1126614_I5_W2.csv
1108468,I5,S,32.979922,-117.253241,1108468_I5_W1.csv,1108468_I5_W2.csv
1108509,I5,N,32.979329,-117.252709,1108509_I5_W1.csv,1108509_I5_W2.csv
1119850,I5,N,32.969013,-117.248831,1119850_I5_W1.csv,1119850_I5_W2.csv
1119842,I5,S,32.96573,-117.247857,1119842_I5_W1.csv,1119842_I5_W2.csv
